Video ID,Title,View Count,Like Count,Comment Count
FGCd-h9sK7A,piri reis map,578884,32903,799
B1ntFD-57ow,"Georgia Guidestones After Files: Shoot the breeze, Chop it up, Wag the chin, AMA, Q&A",205324,7924,516
59IiApDiWjA,Georgia Guidestones Darkest Secrets Revealed | Destroyed by a villain or a hero?,4028715,197829,19487
LylOnGRMvfw,saqqara bird,519235,28732,877
l3_xOUBK5T4,"AFTER FILES: Shoot the breeze, chinwag, Q&A, AMA",210315,6769,602
KOajRmbroY0,He found Giants then the Government Found Him | What really happened to Andrew Dawson?,9107831,245422,19950
1tzRGkXZ-8I,costa rica spheres,653194,36529,1336
s1Do7ngr17k,"Apollo 20 After Files Livestream Q&A, AMA, Hangout, Chop it up",207472,7688,473
YpZKwbdbsJ4,Apollo 20: The Secret Mission to the Moon to Salvage an Ancient Alien Spacecraft,3914373,206386,13825
jqcNASh2FOk,East Bay Boulders,625790,30703,1263
pDeoBEojae4,Gosford Glyphs,748714,40531,917
1UwPiBkvGQU,"AFTER FILES: Q&A, AMA, Shoot the Breeze",300857,9803,551
4n3fkTq_p0o,"CIA Classified Book about the Pole Shift, Mass Extinctions and The True Adam & Eve Story",27157598,607082,51879
4TQIiVlHYxY,The Brooklyn Bridge UFO | The Weirdest Story You'll Ever Hear,3325690,125231,6951
CWlOlophVhE,"Thanks a Million Live Q&A, AMA",187628,9738,639
pIZNBTRYj_o,Thanks a Million: Year End Wrap and Story of The Why Files,932417,104149,13943
tsKqJay4ZRE,Shadow People and The Hat Man | Who are they? What do they want?,3313120,131424,17618
uqSVp3ggnr4,"Smithsonian Cover-Up / Grand Canyon After Files Q&A, AMA, Hang Out, Shoot the Breeze",227656,7271,581
ZCYMAs4cqRU,Smithsonian Cover-Up: Ancient Egyptians and Giants in the Grand Canyon,5987163,230116,13500
3YaxIdTe8Ic,AFTER FILES Q&A,328120,14910,1187
yUFYnVXbLoY,How to Build a Working UFO | Alien Reproduction Vehicles (ARVs),2979161,168550,11678
trj5dsNWgJ8,Proof of Reincarnation | Dorothy Eady: Ancient Egyptian Priestess Reborn,4419323,166764,9780
pl7DE8RFfUc,From Amityville to Annabelle | The Truth of Ed and Lorraine Warren's Scariest Case,2498219,96060,5713
50Y5r9HeR2w,Secret 10-Year Mission to an Alien Planet 40 Light Years Away | Project Serpo,3678690,154901,9492
a9a_DM3Ynp0,What do you do when your new house is haunted?,328828,19211,502
s1c3k9MfhA0,AFTER FILES: Spontaneous Human Combustion,185582,5144,354
AOO5a_jUOzg,Only The Legs Remain | Spontaneous Human Combustion,1026371,65185,4385
Je3Qu-xMuxM,ALIEN WAR and The Horrors of Dulce Underground Base,4217181,156267,12978
Q0_ltg5IYgo,AFTER FILES: The Bible Code,248286,8236,740
ji4qvi-4MZo,"EVERYTHING is Secretly Encoded in the Bible even YOUR Birth, Death (and the End of the World)",4450123,151326,8779
OhBVWX0IkIk,"Alien Probe, Sentient Machine, Nuclear Weapon, or Junk? What is the Betz Mystery Sphere?",4560241,163747,7952
yl1pfOEvReM,Can an airplane be a time machine? The Drem Time Slip #shorts,1464734,70706,1338
aAYL2Pw3jig,"After Files Live: Dogmen, Hybrids, Werewolves",199563,7239,804
lPpFFU9EMr8,"Dogmen, Hybrids, The Beast of Bray Road | True Stories of Werewolves",1620152,105729,6745
Qd5651uHofM,Glastenbury Mountain and the Bennington Triangle #shorts,798297,45525,1160
XU49FSIx0_g,TESLA KNEW The Secret of the Great Pyramid: Unlimited Energy to Power the World,9905832,344641,21917
